x,y,z,id,celltype,,,apical>apical
1950.08469,-1088.4381,0,ipc 1,4,,,pial>Cholinergic and monoaminergic neurons
1984.428691,-1097.6721,0,ipc 1,4,,,rgc>Telencephalon projecting excitatory neurons
2002.464691,-974.12005,0,ipc 1,4,,,ipc proto>ipc proto
1941.660689,-1074.3441,0,rgc,2,,,ipc 1>ipc 1
2044.800692,-1082.8221,0,ipc 1,4,,,
1917.522689,-1084.7661,0,ipc 1,4,,,
2002.248691,-1030.8201,0,ipc 1,4,,,
2000.034691,-1109.0661,0,ipc proto,3,,,
1933.722689,-1116.0861,0,ipc 1,4,,,
2045.718692,-1132.9881,0,ipc 1,4,,,
2028.978692,-1059.7101,0,ipc 1,4,,,
1973.46669,-1072.8321,0,ipc 1,4,,,
1938.636689,-1055.8221,0,ipc 1,4,,,
2015.586691,-1046.6961,0,ipc 1,4,,,
1963.20669,-1128.8841,0,ipc 1,4,,,
2005.704691,-1012.4601,0,ipc 1,4,,,
2047.446692,-1099.1841,0,ipc 1,4,,,
2044.368692,-989.72605,0,rgc,2,,,
2044.746692,-968.66605,0,ipc 1,4,,,
1887.930688,-1115.1141,0,ipc 1,4,,,
1914.930689,-1140.0621,0,ipc 1,4,,,
1966.17669,-1094.2161,0,ipc 1,4,,,
1976.16669,-1109.4981,0,ipc 1,4,,,
1948.14069,-1094.2161,0,ipc 1,4,,,
2007.810691,-1091.6781,0,ipc proto,3,,,
1976.76069,-1016.7801,0,ipc 1,4,,,
2031.192692,-986.16205,0,rgc,2,,,
1932.534689,-1074.5061,0,ipc 1,4,,,
1943.712689,-1101.8301,0,ipc 1,4,,,
1983.29469,-1021.2621,0,ipc 1,4,,,
1903.266688,-1097.9421,0,ipc 1,4,,,
2013.264691,-1110.7401,0,rgc,2,,,
1996.956691,-1133.1501,0,rgc,2,,,
2027.304692,-1143.4101,0,ipc 1,4,,,
2045.610692,-999.87805,0,ipc 1,4,,,
1963.80069,-1110.8481,0,ipc 1,4,,,
1929.903811,-1145.2482,0,ipc 1,4,,,
1895.18181,-1162.9062,0,ipc 1,4,,,
2018.517814,-1203.1902,0,ipc 1,4,,,
2024.403814,-1222.4682,0,ipc 1,4,,,
2026.023814,-1244.3922,0,ipc proto,3,,,
2004.585813,-1212.9642,0,rgc,2,,,
1992.651813,-1174.8402,0,ipc 1,4,,,
1964.733812,-1172.7342,0,ipc 1,4,,,
1974.345813,-1128.0222,0,ipc 1,4,,,
1922.235811,-1163.5542,0,ipc 1,4,,,
1900.959811,-1136.1222,0,ipc 1,4,,,
1917.051811,-1173.9762,0,ipc 1,4,,,
1995.189813,-1218.2022,0,ipc 1,4,,,
1942.107812,-1164.5802,0,ipc 1,4,,,
1929.093811,-1135.0422,0,ipc 1,4,,,
1945.563812,-1150.5942,0,ipc 1,4,,,
1956.039812,-1180.5102,0,ipc 1,4,,,
2017.923814,-1250.3862,0,ipc proto,3,,,
2028.777814,-1158.3702,0,ipc 1,4,,,
2033.961814,-1236.1842,0,rgc,2,,,
1958.253812,-1200.4902,0,ipc 1,4,,,
1991.949813,-1199.4102,0,ipc 1,4,,,
1993.731813,-1239.1002,0,ipc 1,4,,,
2193.971456,-1392.4493,0,pial,1,,,
2156.387455,-1349.6273,0,rgc,2,,,
2170.589455,-1340.6633,0,rgc,2,,,
2166.107455,-1410.1073,0,rgc,2,,,
2136.299454,-1383.8633,0,ipc proto,3,,,
2223.077457,-1460.4353,0,rgc,2,,,
2212.871456,-1371.6593,0,rgc,2,,,
2181.173455,-1389.9653,0,rgc,2,,,
2158.493455,-1380.2993,0,rgc,2,,,
2176.745455,-1398.5513,0,rgc,2,,,
2128.805322,-1186.5139,0,ipc 1,4,,,
2072.699321,-1282.8499,0,ipc 1,4,,,
2095.919321,-1214.3779,0,ipc proto,3,,,
2155.805323,-1235.8159,0,ipc proto,3,,,
2061.62932,-1243.5379,0,ipc 1,4,,,
2130.695322,-1238.6779,0,rgc,2,,,
2104.235321,-1294.4599,0,ipc proto,3,,,
2055.09532,-1230.9559,0,rgc,2,,,
2122.919322,-1350.1339,0,ipc proto,3,,,
2095.919321,-1277.2879,0,ipc proto,3,,,
2218.445324,-1345.2199,0,rgc,2,,,
2115.305322,-1228.9039,0,ipc proto,3,,,
2208.995324,-1273.9939,0,ipc proto,3,,,
2216.123324,-1197.6379,0,ipc proto,3,,,
2160.611323,-1299.8599,0,rgc,2,,,
2173.679323,-1191.4819,0,ipc proto,3,,,
2153.969323,-1142.4499,0,ipc proto,3,,,
2109.257322,-1209.4639,0,ipc proto,3,,,
2110.661322,-1269.0799,0,ipc proto,3,,,
2130.317322,-1277.2339,0,ipc proto,3,,,
2070.107321,-1304.7739,0,ipc proto,3,,,
2138.525322,-1164.5359,0,ipc 1,4,,,
2238.371325,-1142.1799,0,ipc proto,3,,,
2136.149322,-1241.7019,0,ipc proto,3,,,
2112.821322,-1280.9059,0,ipc proto,3,,,
2137.229322,-1252.2859,0,ipc proto,3,,,
2237.885325,-1310.1739,0,rgc,2,,,
2039.92132,-1138.9399,0,rgc,2,,,
2113.037322,-1257.9019,0,ipc proto,3,,,
2110.391322,-1234.5199,0,ipc proto,3,,,
2162.771323,-1196.3419,0,ipc proto,3,,,
2035.65532,-1211.9479,0,ipc 1,4,,,
2086.415321,-1249.4779,0,ipc 1,4,,,
2153.861323,-1341.6559,0,rgc,2,,,
2107.205322,-1155.8959,0,rgc,2,,,
2146.463323,-1187.1079,0,ipc proto,3,,,
2162.501323,-1263.0319,0,ipc proto,3,,,
2147.867323,-1284.0379,0,ipc proto,3,,,
2227.355325,-1227.1759,0,rgc,2,,,
2059.09132,-1272.5899,0,ipc proto,3,,,
2114.333322,-1297.5379,0,ipc proto,3,,,
2216.987324,-1229.9839,0,ipc proto,3,,,
2090.627321,-1318.1119,0,ipc proto,3,,,
2187.773324,-1351.6999,0,rgc,2,,,
2220.767324,-1283.5519,0,ipc proto,3,,,
2044.78132,-1187.8639,0,ipc proto,3,,,
2139.227322,-1206.7099,0,ipc proto,3,,,
2240.315325,-1260.6559,0,ipc proto,3,,,
2104.127321,-1353.6439,0,rgc,2,,,
2059.84732,-1312.3339,0,ipc proto,3,,,
2081.069321,-1164.1579,0,ipc proto,3,,,
2113.523322,-1304.9899,0,ipc proto,3,,,
2194.685324,-1248.5599,0,ipc proto,3,,,
2201.003324,-1322.8639,0,ipc proto,3,,,
2162.609323,-1221.7219,0,ipc proto,3,,,
2131.073322,-1317.5719,0,rgc,2,,,
2227.301325,-1231.4419,0,ipc proto,3,,,
2209.627071,-1089.6023,0,ipc proto,3,,,
2227.609071,-1072.8623,0,ipc proto,3,,,
2114.425069,-1054.9883,0,ipc 1,4,,,
2151.79307,-976.79627,0,ipc 1,4,,,
2246.833072,-1115.7383,0,ipc proto,3,,,
2137.915069,-1062.4943,0,ipc 1,4,,,
2223.937071,-1094.3003,0,ipc proto,3,,,
2038.069067,-1108.7183,0,ipc 1,4,,,
2098.981068,-1040.2463,0,ipc 1,4,,,
2203.255071,-1045.5923,0,rgc,2,,,
2075.005068,-1036.3583,0,ipc 1,4,,,
2057.509067,-1045.4303,0,ipc 1,4,,,
2194.237071,-1092.0863,0,ipc proto,3,,,
2162.26907,-1123.9463,0,ipc proto,3,,,
2215.189071,-1008.4943,0,rgc,2,,,
2064.421067,-940.99427,0,ipc proto,3,,,
2156.05907,-1091.5463,0,ipc 1,4,,,
2200.717071,-1150.4063,0,ipc proto,3,,,
2147.473069,-987.00227,0,ipc 1,4,,,
2106.433068,-1086.0923,0,ipc 1,4,,,
2066.689067,-1056.3383,0,rgc,2,,,
2200.717071,-939.32027,0,ipc 1,4,,,
2201.419071,-1138.3103,0,ipc proto,3,,,
2216.107071,-943.10027,0,ipc 1,4,,,
2062.369067,-977.06627,0,ipc 1,4,,,
2057.023067,-1106.9903,0,ipc 1,4,,,
2157.67907,-1014.2723,0,ipc 1,4,,,
2184.67907,-1035.2243,0,ipc proto,3,,,
2225.827071,-1025.3423,0,ipc proto,3,,,
2053.837067,-938.29427,0,ipc 1,4,,,
2147.041069,-1054.3943,0,ipc proto,3,,,
2192.509071,-974.96027,0,ipc 1,4,,,
2111.131068,-1064.0603,0,ipc 1,4,,,
2212.219071,-967.02227,0,ipc 1,4,,,
2121.283069,-1118.8163,0,ipc proto,3,,,
2193.589071,-989.54027,0,ipc proto,3,,,
2069.767067,-971.82827,0,ipc 1,4,,,
2081.701068,-1060.9283,0,ipc proto,3,,,
2045.575067,-1067.7323,0,ipc 1,4,,,
2192.185071,-1063.3043,0,ipc 1,4,,,
2092.123068,-969.83027,0,ipc 1,4,,,
2038.069067,-1058.3363,0,ipc 1,4,,,
2082.943068,-1099.8623,0,ipc 1,4,,,
2072.629067,-1118.5463,0,ipc 1,4,,,
2178.03707,-1106.0183,0,ipc proto,3,,,
2086.237068,-1009.6283,0,ipc 1,4,,,
2064.529067,-966.80627,0,rgc,2,,,
2072.089067,-1128.8603,0,ipc 1,4,,,
2055.295067,-1087.6043,0,ipc 1,4,,,
2091.853068,-1149.7043,0,ipc 1,4,,,
2067.337067,-936.29627,0,rgc,2,,,
2140.399069,-1019.0783,0,ipc 1,4,,,
2244.187072,-1123.4063,0,ipc proto,3,,,
2144.449069,-1044.2963,0,ipc 1,4,,,
2072.197067,-987.16427,0,ipc 1,4,,,
2108.701068,-960.43427,0,ipc 1,4,,,
2061.991067,-988.29827,0,ipc 1,4,,,
2170.26107,-987.59627,0,ipc 1,4,,,
2246.347072,-974.42027,0,ipc 1,4,,,
2066.473067,-1050.6143,0,ipc 1,4,,,
2229.492584,-871.30078,0,rgc,2,,,
2103.996581,-918.44278,0,ipc 1,4,,,
2167.554582,-948.62878,0,ipc 1,4,,,
2168.742582,-896.08678,0,ipc 1,4,,,
2131.428581,-906.72478,0,rgc,2,,,
2168.202582,-885.98878,0,ipc 1,4,,,
2204.760583,-898.94878,0,ipc proto,3,,,
2217.126584,-802.23478,0,ipc 1,4,,,
2141.904582,-881.02078,0,ipc 1,4,,,
2212.212584,-824.96878,0,ipc 1,4,,,
2244.450584,-805.42078,0,ipc 1,4,,,
2117.226581,-928.43278,0,ipc 1,4,,,
2178.732583,-951.43678,0,rgc,2,,,
2236.134584,-856.23478,0,ipc 1,4,,,
2217.720584,-927.67678,0,ipc 1,4,,,
2232.354584,-797.32078,0,ipc 1,4,,,
2245.476584,-756.82078,0,ipc 1,4,,,
2173.170583,-829.34278,0,ipc 1,4,,,
2223.984584,-879.77878,0,ipc 1,4,,,
2151.084582,-919.30678,0,ipc 1,4,,,
2191.314583,-840.84478,0,ipc 1,4,,,
2154.756582,-866.38678,0,ipc 1,4,,,
2205.840583,-836.20078,0,ipc 1,4,,,
2104.374581,-942.20278,0,apical,0,,,
2070.62458,-923.46478,0,ipc 1,4,,,
2193.096583,-804.71878,0,ipc 1,4,,,
2170.092582,-927.51478,0,ipc proto,3,,,
2152.758582,-844.08478,0,ipc 1,4,,,
2207.460583,-919.36078,0,rgc,2,,,
2174.952583,-818.65078,0,ipc 1,4,,,
2121.978581,-871.78678,0,ipc 1,4,,,
2042.652579,-943.44478,0,rgc,2,,,
2092.00858,-910.77478,0,ipc 1,4,,,
2192.772583,-920.76478,0,ipc 1,4,,,
2053.722579,-948.46678,0,ipc 1,4,,,
2226.036584,-817.94878,0,ipc 1,4,,,
2218.422584,-899.27278,0,ipc 1,4,,,
2131.104581,-920.00878,0,ipc 1,4,,,
2117.496581,-877.61878,0,ipc 1,4,,,
2144.550582,-928.05478,0,ipc 1,4,,,
2300.648517,-917.78507,0,ipc 1,4,,,
2351.570518,-898.56107,0,ipc 1,4,,,
2256.098516,-945.75707,0,ipc 1,4,,,
2409.94452,-919.29707,0,ipc proto,3,,,
2343.362518,-852.60707,0,ipc 1,4,,,
2441.318521,-775.54907,0,ipc proto,3,,,
2275.430517,-808.05707,0,ipc 1,4,,,
2451.848521,-844.02107,0,ipc proto,3,,,
2402.65452,-854.22707,0,ipc 1,4,,,
2381.594519,-912.38507,0,ipc proto,3,,,
2261.930516,-818.47907,0,ipc 1,4,,,
2430.356521,-915.84107,0,apical,0,,,
2340.446518,-883.33307,0,ipc 1,4,,,
2405.30052,-794.34107,0,ipc proto,3,,,
2304.212517,-786.45707,0,ipc 1,4,,,
2309.774517,-752.76107,0,ipc 1,4,,,
2458.922521,-904.66307,0,rgc,2,,,
2327.378518,-892.62107,0,ipc 1,4,,,
2288.876517,-844.50707,0,ipc 1,4,,,
2319.386518,-778.35707,0,ipc 1,4,,,
2427.92652,-945.97307,0,ipc proto,3,,,
2324.678518,-846.34307,0,ipc proto,3,,,
2336.126518,-793.90907,0,ipc 1,4,,,
2404.32852,-885.65507,0,ipc proto,3,,,
2301.674517,-889.27307,0,ipc 1,4,,,
2309.180517,-880.41707,0,ipc proto,3,,,
2283.908517,-854.01107,0,rgc,2,,,
2426.57652,-892.99907,0,ipc proto,3,,,
2415.93852,-808.16507,0,ipc 1,4,,,
2294.276517,-755.46107,0,ipc 1,4,,,
2257.556516,-911.25107,0,ipc 1,4,,,
2334.560518,-809.13707,0,ipc 1,4,,,
2426.84652,-957.52907,0,ipc proto,3,,,
2402.27652,-781.65107,0,ipc 1,4,,,
2395.52652,-842.18507,0,rgc,2,,,
2302.160517,-869.99507,0,ipc 1,4,,,
2397.14652,-891.16307,0,ipc proto,3,,,
2380.136519,-874.90907,0,ipc 1,4,,,
2427.98052,-825.66107,0,ipc 1,4,,,
2374.682519,-845.80307,0,ipc 1,4,,,
2408.86452,-843.58907,0,ipc 1,4,,,
2336.558518,-769.71707,0,ipc 1,4,,,
2358.806519,-770.58107,0,ipc 1,4,,,
2329.322518,-920.16107,0,ipc 1,4,,,
2291.198517,-926.64107,0,ipc proto,3,,,
2421.98652,-930.79907,0,ipc proto,3,,,
2311.988517,-919.35107,0,ipc 1,4,,,
2428.73652,-756.43307,0,ipc 1,4,,,
2289.578517,-823.82507,0,ipc 1,4,,,
2317.874518,-821.82707,0,ipc 1,4,,,
2338.664518,-783.27107,0,ipc 1,4,,,
2358.968519,-841.37507,0,ipc proto,3,,,
2358.806519,-794.88107,0,rgc,2,,,
2345.144518,-921.40307,0,ipc 1,4,,,
2247.296516,-779.32907,0,ipc 1,4,,,
2317.874518,-955.90907,0,ipc proto,3,,,
2378.894519,-781.97507,0,ipc 1,4,,,
2275.268517,-767.82707,0,ipc 1,4,,,
2249.240516,-878.25707,0,ipc 1,4,,,
2459.030521,-757.94507,0,rgc,2,,,
2351.138518,-936.19907,0,ipc 1,4,,,
2246.972516,-958.01507,0,ipc proto,3,,,
2290.334517,-832.41107,0,ipc 1,4,,,
2267.114516,-862.92107,0,ipc proto,3,,,
2283.854517,-900.55907,0,ipc proto,3,,,
2289.956517,-778.73507,0,ipc 1,4,,,
2269.760516,-790.93907,0,ipc 1,4,,,
2347.898518,-878.41907,0,ipc 1,4,,,
2359.238519,-959.47307,0,rgc,2,,,
2250.914516,-773.55107,0,ipc 1,4,,,
2422.41852,-831.54707,0,ipc 1,4,,,
2374.844519,-814.91507,0,ipc 1,4,,,
2371.204853,-1043.4798,0,apical,0,,,
2345.068853,-1041.3738,0,ipc proto,3,,,
2392.102854,-1005.1398,0,ipc proto,3,,,
2439.946855,-944.49779,0,ipc proto,3,,,
2329.084852,-998.82179,0,ipc 1,4,,,
2253.86285,-1078.7418,0,ipc proto,3,,,
2328.814852,-1009.0818,0,ipc proto,3,,,
2345.284853,-1098.4518,0,ipc proto,3,,,
2433.088855,-1107.7938,0,rgc,2,,,
2399.878854,-1142.7858,0,rgc,2,,,
2258.07485,-1124.1558,0,ipc proto,3,,,
2375.632853,-1075.6638,0,ipc proto,3,,,
2364.508853,-1091.0538,0,ipc proto,3,,,
2399.338854,-1034.2458,0,ipc proto,3,,,
2389.888854,-948.27779,0,ipc proto,3,,,
2272.978851,-1104.1218,0,apical,0,,,
2329.030852,-1053.3078,0,ipc proto,3,,,
2427.364855,-1153.1538,0,rgc,2,,,
2277.136851,-1076.7438,0,ipc proto,3,,,
2380.438853,-1110.8178,0,rgc,2,,,
2262.39485,-991.90979,0,rgc,2,,,
2287.828851,-1004.2758,0,ipc proto,3,,,
2307.430852,-1075.1238,0,ipc proto,3,,,
2314.396852,-1061.7318,0,ipc 1,4,,,
2268.064851,-1037.6478,0,rgc,2,,,
2279.512851,-1133.6058,0,ipc proto,3,,,
2295.064851,-1073.1798,0,ipc proto,3,,,
2445.724855,-953.73179,0,ipc proto,3,,,
2341.612852,-1125.8838,0,rgc,2,,,
2387.458854,-1143.5958,0,rgc,2,,,
2372.500853,-967.71779,0,rgc,2,,,
2390.698854,-1013.9418,0,ipc proto,3,,,
2290.798851,-1039.8618,0,ipc proto,3,,,
2385.676854,-961.23779,0,ipc proto,3,,,
2245.54685,-944.06579,0,ipc 1,4,,,
2371.474853,-1052.4438,0,ipc proto,3,,,
2254.88885,-1147.5918,0,ipc proto,3,,,
2383.408854,-1088.8398,0,ipc proto,3,,,
2267.362851,-1160.1198,0,ipc proto,3,,,
2443.510855,-991.04579,0,ipc proto,3,,,
2355.760853,-1098.9918,0,ipc proto,3,,,
2413.000854,-1125.9378,0,rgc,2,,,
2320.444852,-1049.8518,0,ipc proto,3,,,
2321.038852,-1030.4118,0,rgc,2,,,
2402.686854,-1017.8838,0,ipc proto,3,,,
2396.638854,-970.03979,0,ipc proto,3,,,
2353.762853,-1037.9178,0,rgc,2,,,
2295.334851,-1060.3278,0,rgc,2,,,
2402.524854,-1126.1538,0,rgc,2,,,
2343.070852,-1106.6058,0,rgc,2,,,
2344.744853,-986.29379,0,ipc proto,3,,,
2272.330851,-1000.5498,0,ipc proto,3,,,
2347.498853,-1130.7438,0,rgc,2,,,
2370.394853,-1080.9558,0,ipc proto,3,,,
2306.404852,-991.96379,0,ipc proto,3,,,
2268.604851,-1117.0818,0,ipc proto,3,,,
2297.602851,-1041.4278,0,ipc proto,3,,,
2414.566854,-1071.3438,0,rgc,2,,,
2300.086851,-1141.0038,0,ipc proto,3,,,
2273.896851,-956.43179,0,ipc 1,4,,,
2295.712851,-980.19179,0,rgc,2,,,
2265.31085,-1070.7498,0,ipc proto,3,,,
2300.950851,-1017.5058,0,ipc proto,3,,,
2326.573725,-1173.6219,0,rgc,2,,,
2231.479723,-1173.8919,0,ipc proto,3,,,
2251.243723,-1169.6799,0,ipc 1,4,,,
2379.385727,-1255.7019,0,rgc,2,,,
2325.871725,-1150.2399,0,ipc proto,3,,,
2375.713727,-1228.4859,0,rgc,2,,,
2400.175727,-1317.4239,0,pial,1,,,
2370.799726,-1344.3159,0,rgc,2,,,
2363.995726,-1323.6339,0,rgc,2,,,
2317.879725,-1244.2539,0,rgc,2,,,
2356.759726,-1143.9219,0,rgc,2,,,
2297.521725,-1289.9379,0,rgc,2,,,
2302.489725,-1236.7479,0,rgc,2,,,
2276.947724,-1205.4279,0,ipc proto,3,,,
2237.473723,-1191.7659,0,ipc proto,3,,,
2267.821724,-1339.7259,0,rgc,2,,,
2409.949727,-1191.3879,0,rgc,2,,,
2311.885725,-1210.2339,0,rgc,2,,,
2281.915724,-1318.9359,0,rgc,2,,,
2331.325725,-1224.2199,0,ipc proto,3,,,
2396.719727,-1278.2739,0,rgc,2,,,
2354.653726,-1150.1859,0,ipc proto,3,,,
2303.947725,-1276.3299,0,rgc,2,,,
2355.895726,-1216.6599,0,rgc,2,,,
2289.853724,-1173.2979,0,ipc proto,3,,,
2390.941727,-1208.2899,0,rgc,2,,,
2358.163726,-1198.2459,0,rgc,2,,,
2299.681725,-1212.2859,0,ipc proto,3,,,
2416.483728,-1273.1979,0,rgc,2,,,
2252.269723,-1291.4499,0,ipc proto,3,,,
2433.223728,-1303.1139,0,rgc,2,,,
2305.189725,-1256.2959,0,ipc proto,3,,,
