x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-610.83535,-157.05098,0,rgc,,,,
-595.37117,-155.00159,0,rgc,,,,
-579.90698,-152.71558,0,rgc,,,,
-564.4428,-150.20672,0,rgc,,,,
-548.97861,-147.48811,0,rgc,,,,
-533.51442,-144.57219,0,rgc,,,,
-518.05024,-141.47077,0,rgc,,,,
-502.58605,-138.19507,0,rgc,,,,
-487.12186,-134.75573,0,rgc,,,,
-471.65768,-131.16281,0,rgc,,,,
-456.19349,-127.4259,0,rgc,,,,
-440.72931,-123.55406,0,rgc,,,,
-425.26512,-119.55588,0,rgc,,,,
-409.80093,-115.43952,0,rgc,,,,
-394.33675,-111.21271,0,rgc,,,,
-378.87256,-106.8828,0,rgc,,,,
-363.40838,-102.45678,0,rgc,,,,
-347.94419,-97.941288,0,rgc,,,,
-332.48,-93.342654,0,rgc,,,,
-317.01582,-88.666927,0,rgc,,,,
-301.55163,-83.919898,0,rgc,,,,
-286.08744,-79.107123,0,rgc,,,,
-270.62326,-74.233953,0,rgc,,,,
-255.15907,-69.305563,0,rgc,,,,
-239.69489,-64.32697,0,rgc,,,,
-224.2307,-59.303069,0,rgc,,,,
-208.76651,-54.238653,0,rgc,,,,
-193.30233,-49.138442,0,rgc,,,,
-177.83814,-44.007108,0,rgc,,,,
-162.37396,-38.849304,0,rgc,,,,
-146.90977,-33.669689,0,rgc,,,,
-131.44558,-28.472951,0,rgc,,,,
-115.9814,-23.263841,0,rgc,,,,
-100.51721,-18.047191,0,rgc,,,,
-85.053024,-12.827949,0,rgc,,,,
-69.588838,-7.611196,0,rgc,,,,
-54.124652,-2.402181,0,rgc,,,,
-38.660465,2.793657,0,rgc,,,,
-23.196279,7.970664,0,rgc,,,,
-7.732093,13.122938,0,rgc,,,,
7.732093,18.244311,0,rgc,,,,
23.196279,23.328316,0,rgc,,,,
38.660465,28.368165,0,rgc,,,,
54.124652,33.35672,0,rgc,,,,
69.588838,38.286465,0,rgc,,,,
85.053024,43.149485,0,rgc,,,,
100.51721,47.937434,0,rgc,,,,
115.981396,52.641513,0,rgc,,,,
131.445582,57.25244,0,rgc,,,,
146.909769,61.760424,0,rgc,,,,
162.373955,66.155143,0,rgc,,,,
177.838141,70.425712,0,rgc,,,,
193.302327,74.560658,0,rgc,,,,
208.766513,78.547896,0,rgc,,,,
224.230699,82.374701,0,rgc,,,,
239.694886,86.027679,0,rgc,,,,
255.159072,89.492746,0,rgc,,,,
270.623258,92.755098,0,rgc,,,,
286.087444,95.799184,0,rgc,,,,
301.55163,98.608681,0,rgc,,,,
317.015816,101.166469,0,rgc,,,,
332.480003,103.454601,0,rgc,,,,
347.944189,105.45428,0,rgc,,,,
363.408375,107.145829,0,rgc,,,,
378.872561,108.508669,0,rgc,,,,
394.336747,109.521289,0,rgc,,,,
409.800933,110.16122,0,rgc,,,,
425.26512,110.405012,0,rgc,,,,
440.729306,110.228202,0,rgc,,,,
456.193492,109.605293,0,rgc,,,,
471.657678,108.509721,0,rgc,,,,
487.121864,106.913839,0,rgc,,,,
502.58605,104.788877,0,rgc,,,,
518.050237,102.10493,0,rgc,,,,
533.514423,98.830918,0,rgc,,,,
548.978609,94.93457,0,rgc,,,,
564.442795,90.382391,0,rgc,,,,
579.906981,85.139641,0,rgc,,,,
595.371167,79.170302,0,rgc,,,,
610.835354,72.437059,0,rgc,,,,
-610.83535,-173.05098,0,apical,,,,
-595.37117,-171.00159,0,apical,,,,
-579.90698,-168.71558,0,apical,,,,
-564.4428,-166.20672,0,apical,,,,
-548.97861,-163.48811,0,apical,,,,
-533.51442,-160.57219,0,apical,,,,
-518.05024,-157.47077,0,apical,,,,
-502.58605,-154.19507,0,apical,,,,
-487.12186,-150.75573,0,apical,,,,
-471.65768,-147.16281,0,apical,,,,
-456.19349,-143.4259,0,apical,,,,
-440.72931,-139.55406,0,apical,,,,
-425.26512,-135.55588,0,apical,,,,
-409.80093,-131.43952,0,apical,,,,
-394.33675,-127.21271,0,apical,,,,
-378.87256,-122.8828,0,apical,,,,
-363.40838,-118.45678,0,apical,,,,
-347.94419,-113.94129,0,apical,,,,
-332.48,-109.34265,0,apical,,,,
-317.01582,-104.66693,0,apical,,,,
-301.55163,-99.919898,0,apical,,,,
-286.08744,-95.107123,0,apical,,,,
-270.62326,-90.233953,0,apical,,,,
-255.15907,-85.305563,0,apical,,,,
-239.69489,-80.32697,0,apical,,,,
-224.2307,-75.303069,0,apical,,,,
-208.76651,-70.238653,0,apical,,,,
-193.30233,-65.138442,0,apical,,,,
-177.83814,-60.007108,0,apical,,,,
-162.37396,-54.849304,0,apical,,,,
-146.90977,-49.669689,0,apical,,,,
-131.44558,-44.472951,0,apical,,,,
-115.9814,-39.263841,0,apical,,,,
-100.51721,-34.047191,0,apical,,,,
-85.053024,-28.827949,0,apical,,,,
-69.588838,-23.611196,0,apical,,,,
-54.124652,-18.402181,0,apical,,,,
-38.660465,-13.206343,0,apical,,,,
-23.196279,-8.029336,0,apical,,,,
-7.732093,-2.877062,0,apical,,,,
7.732093,2.244311,0,apical,,,,
23.196279,7.328316,0,apical,,,,
38.660465,12.368165,0,apical,,,,
54.124652,17.35672,0,apical,,,,
69.588838,22.286465,0,apical,,,,
85.053024,27.149485,0,apical,,,,
100.51721,31.937434,0,apical,,,,
115.981396,36.641513,0,apical,,,,
131.445582,41.25244,0,apical,,,,
146.909769,45.760424,0,apical,,,,
162.373955,50.155143,0,apical,,,,
177.838141,54.425712,0,apical,,,,
193.302327,58.560658,0,apical,,,,
208.766513,62.547896,0,apical,,,,
224.230699,66.374701,0,apical,,,,
239.694886,70.027679,0,apical,,,,
255.159072,73.492746,0,apical,,,,
270.623258,76.755098,0,apical,,,,
286.087444,79.799184,0,apical,,,,
301.55163,82.608681,0,apical,,,,
317.015816,85.166469,0,apical,,,,
332.480003,87.454601,0,apical,,,,
347.944189,89.45428,0,apical,,,,
363.408375,91.145829,0,apical,,,,
378.872561,92.508669,0,apical,,,,
394.336747,93.521289,0,apical,,,,
409.800933,94.16122,0,apical,,,,
425.26512,94.405012,0,apical,,,,
440.729306,94.228202,0,apical,,,,
456.193492,93.605293,0,apical,,,,
471.657678,92.509721,0,apical,,,,
487.121864,90.913839,0,apical,,,,
502.58605,88.788877,0,apical,,,,
518.050237,86.10493,0,apical,,,,
533.514423,82.830918,0,apical,,,,
548.978609,78.93457,0,apical,,,,
564.442795,74.382391,0,apical,,,,
579.906981,69.139641,0,apical,,,,
595.371167,63.170302,0,apical,,,,
610.835354,56.437059,0,apical,,,,
-610.83535,-188.05098,0,apical,,,,
-595.37117,-186.00159,0,apical,,,,
-579.90698,-183.71558,0,apical,,,,
-564.4428,-181.20672,0,apical,,,,
-548.97861,-178.48811,0,apical,,,,
-533.51442,-175.57219,0,apical,,,,
-518.05024,-172.47077,0,apical,,,,
-502.58605,-169.19507,0,apical,,,,
-487.12186,-165.75573,0,apical,,,,
-471.65768,-162.16281,0,apical,,,,
-456.19349,-158.4259,0,apical,,,,
-440.72931,-154.55406,0,apical,,,,
-425.26512,-150.55588,0,apical,,,,
