x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-606.196098,-156.20261,0,rgc,,,,
-581.4534,-152.809113,0,rgc,,,,
-556.710702,-148.831001,0,rgc,,,,
-531.968004,-144.322214,0,rgc,,,,
-507.225306,-139.332432,0,rgc,,,,
-482.482608,-133.907357,0,rgc,,,,
-457.739911,-128.088986,0,rgc,,,,
-432.997213,-121.915892,0,rgc,,,,
-408.254515,-115.423497,0,rgc,,,,
-383.511817,-108.644352,0,rgc,,,,
-358.769119,-101.608415,0,rgc,,,,
-334.026421,-94.343323,0,rgc,,,,
-309.283723,-86.874677,0,rgc,,,,
-284.541025,-79.22631,0,rgc,,,,
-259.798328,-71.420572,0,rgc,,,,
-235.05563,-63.478602,0,rgc,,,,
-210.312932,-55.42061,0,rgc,,,,
-185.570234,-47.266148,0,rgc,,,,
-160.827536,-39.034392,0,rgc,,,,
-136.084838,-30.744416,0,rgc,,,,
-111.34214,-22.415473,0,rgc,,,,
-86.599443,-14.067267,0,rgc,,,,
-61.856745,-5.720235,0,rgc,,,,
-37.114047,2.60418,0,rgc,,,,
-12.371349,10.883248,0,rgc,,,,
12.371349,19.092679,0,rgc,,,,
37.114047,27.206341,0,rgc,,,,
61.856745,35.195989,0,rgc,,,,
86.599443,43.030981,0,rgc,,,,
111.34214,50.678007,0,rgc,,,,
136.084838,58.100807,0,rgc,,,,
160.827536,65.259899,0,rgc,,,,
185.570234,72.112297,0,rgc,,,,
210.312932,78.611235,0,rgc,,,,
235.05563,84.705892,0,rgc,,,,
259.798328,90.341114,0,rgc,,,,
284.541025,95.457136,0,rgc,,,,
309.283723,99.989306,0,rgc,,,,
334.026421,103.867805,0,rgc,,,,
358.769119,107.017375,0,rgc,,,,
383.511817,109.357037,0,rgc,,,,
408.254515,110.799817,0,rgc,,,,
432.997213,111.252467,0,rgc,,,,
457.739911,110.61519,0,rgc,,,,
482.482608,108.781359,0,rgc,,,,
507.225306,105.637245,0,rgc,,,,
531.968004,101.061736,0,rgc,,,,
556.710702,94.926062,0,rgc,,,,
581.4534,87.093515,0,rgc,,,,
606.196098,77.419176,0,rgc,,,,
-610.83535,-173.05098,0,apical,,,,
-595.37117,-171.00159,0,apical,,,,
-579.90698,-168.71558,0,apical,,,,
-564.4428,-166.20672,0,apical,,,,
-548.97861,-163.48811,0,apical,,,,
-533.51442,-160.57219,0,apical,,,,
-518.05024,-157.47077,0,apical,,,,
-502.58605,-154.19507,0,apical,,,,
-487.12186,-150.75573,0,apical,,,,
-471.65768,-147.16281,0,apical,,,,
-456.19349,-143.4259,0,apical,,,,
-440.72931,-139.55406,0,apical,,,,
-425.26512,-135.55588,0,apical,,,,
-409.80093,-131.43952,0,apical,,,,
-394.33675,-127.21271,0,apical,,,,
-378.87256,-122.8828,0,apical,,,,
-363.40838,-118.45678,0,apical,,,,
-347.94419,-113.94129,0,apical,,,,
-332.48,-109.34265,0,apical,,,,
-317.01582,-104.66693,0,apical,,,,
-301.55163,-99.919898,0,apical,,,,
-286.08744,-95.107123,0,apical,,,,
-270.62326,-90.233953,0,apical,,,,
-255.15907,-85.305563,0,apical,,,,
-239.69489,-80.32697,0,apical,,,,
-224.2307,-75.303069,0,apical,,,,
-208.76651,-70.238653,0,apical,,,,
-193.30233,-65.138442,0,apical,,,,
-177.83814,-60.007108,0,apical,,,,
-162.37396,-54.849304,0,apical,,,,
-146.90977,-49.669689,0,apical,,,,
-131.44558,-44.472951,0,apical,,,,
-115.9814,-39.263841,0,apical,,,,
-100.51721,-34.047191,0,apical,,,,
-85.053024,-28.827949,0,apical,,,,
-69.588838,-23.611196,0,apical,,,,
-54.124652,-18.402181,0,apical,,,,
-38.660465,-13.206343,0,apical,,,,
-23.196279,-8.029336,0,apical,,,,
-7.732093,-2.877062,0,apical,,,,
7.732093,2.244311,0,apical,,,,
23.196279,7.328316,0,apical,,,,
38.660465,12.368165,0,apical,,,,
54.124652,17.35672,0,apical,,,,
69.588838,22.286465,0,apical,,,,
85.053024,27.149485,0,apical,,,,
100.51721,31.937434,0,apical,,,,
115.981396,36.641513,0,apical,,,,
131.445582,41.25244,0,apical,,,,
146.909769,45.760424,0,apical,,,,
162.373955,50.155143,0,apical,,,,
177.838141,54.425712,0,apical,,,,
193.302327,58.560658,0,apical,,,,
208.766513,62.547896,0,apical,,,,
224.230699,66.374701,0,apical,,,,
239.694886,70.027679,0,apical,,,,
255.159072,73.492746,0,apical,,,,
270.623258,76.755098,0,apical,,,,
286.087444,79.799184,0,apical,,,,
301.55163,82.608681,0,apical,,,,
317.015816,85.166469,0,apical,,,,
332.480003,87.454601,0,apical,,,,
347.944189,89.45428,0,apical,,,,
363.408375,91.145829,0,apical,,,,
378.872561,92.508669,0,apical,,,,
394.336747,93.521289,0,apical,,,,
409.800933,94.16122,0,apical,,,,
425.26512,94.405012,0,apical,,,,
440.729306,94.228202,0,apical,,,,
456.193492,93.605293,0,apical,,,,
471.657678,92.509721,0,apical,,,,
487.121864,90.913839,0,apical,,,,
502.58605,88.788877,0,apical,,,,
518.050237,86.10493,0,apical,,,,
533.514423,82.830918,0,apical,,,,
548.978609,78.93457,0,apical,,,,
564.442795,74.382391,0,apical,,,,
579.906981,69.139641,0,apical,,,,
595.371167,63.170302,0,apical,,,,
610.835354,56.437059,0,apical,,,,
622.4226395,50,0,wall,,,,
622.4226395,64.57124209842732,0,wall,,,,
622.4226395,79.14248419685464,0,wall,,,,
622.4226395,93.71372629528196,0,wall,,,,
622.4226395,108.28496839370928,0,wall,,,,
622.4226395,122.8562104921366,0,wall,,,,
622.4226395,137.42745259056392,0,wall,,,,
622.4226395,151.99869468899124,0,wall,,,,
622.4226395,166.56993678741856,0,wall,,,,
622.4226395,181.14117888584587,0,wall,,,,
622.4226395,195.7124209842732,0,wall,,,,
622.4226395,210.2836630827005,0,wall,,,,
622.4226395,224.85490518112783,0,wall,,,,
622.4226395,239.42614727955515,0,wall,,,,
622.4226395,253.99738937798247,0,wall,,,,
622.4226395,268.5686314764098,0,wall,,,,
622.4226395,283.1398735748371,0,wall,,,,
622.4226395,297.71111567326443,0,wall,,,,
622.4226395,312.28235777169175,0,wall,,,,
622.4226395,326.85359987011907,0,wall,,,,
622.4226395,341.4248419685464,0,wall,,,,
622.4226395,355.9960840669737,0,wall,,,,
622.4226395,370.5673262,0,wall,,,,
622.4226395,385.13856826382835,0,wall,,,,
622.4226395,399.70981036225567,0,wall,,,,
622.4226395,414.2810525,0,wall,,,,
622.4226395,428.8522945591103,0,wall,,,,
622.4226395,443.4235366575376,0,wall,,,,
622.4226395,457.99477875596494,0,wall,,,,
622.4226395,472.56602085439226,0,wall,,,,
622.4226395,487.1372629528196,0,wall,,,,
622.4226395,501.7085050512469,0,wall,,,,
622.4226395,516.2797471496742,0,wall,,,,
622.4226395,530.8509892481015,0,wall,,,,
622.4226395,545.4222313465289,0,wall,,,,
622.4226395,559.9934734449562,0,wall,,,,
622.4226395,574.5647155433835,0,wall,,,,
622.4226395,589.1359576418108,0,wall,,,,
622.4226395,603.7071997402381,0,wall,,,,
622.4226395,618.2784418386655,0,wall,,,,
622.4226395,632.8496839370928,0,wall,,,,
622.4226395,647.4209260355201,0,wall,,,,
622.4226395,661.9921681339474,0,wall,,,,
622.4226395,676.5634102323747,0,wall,,,,
622.4226395,691.1346523,0,wall,,,,
622.4226395,705.7058944292294,0,wall,,,,
622.4226395,720.2771365276567,0,wall,,,,
